,Altitude,Distance,Narrative,Report,Summary
157,3750,3,MY ACFT WAS BEING VECTORED FOR SEQUENCING INTO THE DOWNWIND LEG FOR RWY 20 AT HVN. NY APCH CTL CLRED MY ACFT TO MAINTAIN 4000 FT ON A HDG OF 360 DEG(?) FOR SEQUENCING BEHIND AN ACR MLG WHICH WAS W OF THE ARPT (AT 3000 FT). BOTH CREW LOOKING FOR VISUAL SIGHTING TO THE MLG WHICH SHOULD HAVE BEEN IN OUR 9-11 O'CLOCK POS. I MADE A VISUAL SCAN TO MY R AND WAS SURPRISED TO SEE AN SMA AT MY 2 O'CLOCK POS APPROX 1/4 MI AWAY ON AN APPARENT COLLISION COURSE. HIS COURSE WAS APPROX DUE W. THE SMA WAS EXACTLY AT MY ALT OF 4000 FT. I CALLED THE TFC TO MY COPLT AND SAID SOMETHING TO THE EFFECT THAT THE SMA COULD BE A PROBLEM. AFTER APPROX 2 SECONDS OF OBSERVATION OF THE SMA I DETERMINED THAT THERE WAS NO RELATIVE MOVEMENT OF THE SMA IN OUR WINDSCREEN AND THAT OUR 2 ACFT WERE ON A COLLISION COURSE. I TOLD MY COPLT TO TELL APCH CTL WE WERE TAKING EVASIVE ACTION; AND I INITIATED A RAPID DSCNT TO PASS BELOW THE SMA. APPARENTLY THE XMISSION TO APCH CTL WAS BLOCKED MOMENTARILY BY OTHER RADIO TFC. DURING THE NEXT BREAK IN CHATTER; THE CTLR CALLED US AND TOLD US TO MAINTAIN 4000 FT; POSSIBLY SHE HAD SEEN OUR TARGET DEVIATE FROM OUR ASSIGNED ALT. WE THEN INFORMED HER THAT WE HAD TAKEN EVASIVE ACTION TO AVOID A MIDAIR COLLISION. SHE INFORMED US THAT SHE HAD NOT OBSERVED ANY OTHER TFC AND COMMENTED THAT THE UNKNOWN ACFT WAS PROBABLY NOT TRANSPONDER EQUIPPED. OUR ACFT WENT MOMENTARILY TO 3750 FT MSL FOR LESS THAN 10 SECONDS WHILE THE SMA PASSED OVERHEAD AND SLIGHTLY AFT. WE THEN CLBED BACK TO OUR ASSIGNED ALT. THERE WAS NO CONFLICT WITH THE MLG.,corp acft ha nmac sma ON sequenc TO apch . NO TA given OF sma . MY acft wa be vector sequenc into downwind leg rwi 20 AT hvn . NY apch ctl clred MY acft TO maintain 4000 FT ON A hdg OF 360 deg ( ? ) sequenc behind AN acr mlg which wa W OF arpt ( AT 3000 FT ) . both crew look visual sight TO mlg which should have been IN 9-11 o'clock po . I made A visual scan TO MY R wa surpris TO see AN sma AT MY 2 o'clock po approx 1/4 MI away ON AN appar collis cours . hi cours wa approx due W. sma wa exactli AT MY alt OF 4000 FT . I call tfc TO MY coplt said someth TO effect that sma could BE A problem . after approx 2 second OF observ OF sma I determin that there wa NO rel movement OF sma IN windscreen that 2 acft ON A collis cours . I told MY coplt TO tell apch ctl WE take evas action ; I initi A rapid dscnt TO pass below sma . appar xmission TO apch ctl wa block momentarili BY other radio tfc . dure next break IN chatter ; ctlr call US told US TO maintain 4000 FT ; possibl she seen target deviat assign alt . WE then inform her that WE taken evas action TO avoid A midair collis . she inform US that she not observ ani other tfc comment that unknown acft wa probabl not transpond equip . acft went momentarili TO 3750 FT msl 10 second sma pass overhead slightli aft . WE then clbed back TO assign alt . there wa NO conflict mlg . ,CORP ACFT HAS NMAC WITH SMA WHILE ON SEQUENCE TO APCH. NO TA GIVEN OF SMA.
158,2400,6,THE PLT FLYING THIS ACFT RESPONDED TO A TCASII 'CLB; CLB' RA. THE ACFT CLBED 500 FT ABOVE THE GLIDE PATH BEFORE THE RA ANNOUNCED 'CLR OF TFC'. BOSTON LOGAN TWR WAS NOTIFIED OF THE DEV. THE ACFT WAS ABLE TO RETURN TO THE GLIDE PATH FOR A NORMAL LNDG. A COMMUTER ACFT WAS ON AN APCH TO RWY 4L; 3 1/2 MI AHEAD OF THIS ACFT. IT WAS IDENTED ON THE RADAR SCREEN AND WAS NOT RESPONSIBLE FOR THE RA. LOGAN TWR ADVISED THIS CREW THAT NO ACFT WERE IN THEIR VICINITY AT THE TIME OF THE RA AND THE CREW SAW NO OTHER TFC. IT WAS SPECULATED THAT PERHAPS THE TCASII SYS WAS RESPONDING TO SHIP TFC IN BOSTON HARBOR.,acr lgt alt dev ON apch into bo IN respons TO tcasii RA . plt fli thi acft respond TO A tcasii 'clb ; clb ' RA . acft clbed 500 FT abov glide path befor RA announc 'clr OF tfc ' . boston logan twr wa notifi OF dev . acft wa abl TO return TO glide path A normal lndg . A commut acft wa ON AN apch TO rwi 4L ; 3 1/2 MI ahead OF thi acft . IT wa ident ON radar screen wa not respons RA . logan twr advis thi crew that NO acft IN their vicin AT time OF RA crew saw NO other tfc . IT wa specul that perhap tcasii sy wa respond TO ship tfc IN boston harbor . ,ACR LGT ALT DEV ON APCH INTO BOS IN RESPONSE TO TCASII RA.
159,2000,16,I WAS INVOLVED IN AN OPERROR ON NOV/WED/91. AT THE TIME THE ERROR OCCURRED MY ATTN WAS DIVERTED TO A LOST ACFT THAT I WAS TRYING TO VECTOR TO AN ARPT IN MY AIRSPACE. ACR X WAS GIVEN A DSCNT TO 2000 AND A VECTOR OF 070 DEGS AND TOLD TO RPT THE ARPT IN SIGHT. SMT Y WAS BEING VECTORED TO A SECOND PRACTICE APCH; I ASSUMED THIS ACFT WAS VFR ON PRACTICE APCHS; AND WANTED AN IFR CLRNC TO THE ISLIP ARPT AFTER HE FINISHED. I HAD A THIRD ACFT ON APCH TO ANOTHER ARPT; WHICH TOOK MORE OF MY ATTN. I WAS AGAIN DIVERTED TO THE LOST ACFT. ACR X ADVISED ME THAT HE HAD AN ACFT AT HIS 10 O'CLOCK POS 4 MI; AND I THEN ISSUED A 180 DEG HDG. HE ADVISED THAT TCASII WAS TELLING HIM TO CLB; I ROGERED HIS XMISSION. I SOON AFTER CLRED ACR X FOR AN ILS APCH. I LATER WAS RELIEVED AND INFORMED MY SUPVR OF THE INCIDENT. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: THE RPTR STATED THE SUPVR WAS AT THE POS TO PROVIDE ASSISTANCE WITH THE LOST ACFT. CONFLICT ALERT HAD ACTIVATED BTWN ACR X AND SMT Y. WHEN THE RPTR TURNED ACR X SEPARATION REDUCED TO 1.6 MI AND 200 FT. ACR X HAD A TCASII RA AND CLBED 300 FT. THE RPTR SAID HE SHOULD HAVE KNOWN SMT Y WAS IFR BECAUSE THE DATA TAG DID NOT HAVE A V INDICATING THE ACFT WAS VFR.,acr X ltss smt Y. sy error . tcasii TA RA . I wa involv IN AN operror ON nov/wed/91 . AT time error occur MY attn wa divert TO A lost acft that I wa tri TO vector TO AN arpt IN MY airspac . acr X wa given A dscnt TO 2000 A vector OF 070 deg told TO rpt arpt IN sight . smt Y wa be vector TO A second practic apch ; I assum thi acft wa vfr ON practic apch ; want AN ifr clrnc TO islip arpt after HE finish . I A third acft ON apch TO anoth arpt ; which took more OF MY attn . I wa again divert TO lost acft . acr X advis ME that HE AN acft AT hi 10 o'clock po 4 MI ; I then issu A 180 deg hdg . HE advis that tcasii wa tell him TO clb ; I roger hi xmission . I soon after clred acr X AN il apch . I later wa reliev inform MY supvr OF incid . callback convers rptr reveal info : rptr state supvr wa AT po TO provid assist lost acft . conflict alert activ btwn acr X smt Y . when rptr turn acr X separ reduc TO 1.6 MI 200 ft. acr X A tcasii RA clbed 300 FT . rptr said HE should have known smt Y wa ifr becaus tag did not have A V indic acft wa vfr . ,ACR X HAD LTSS FROM SMT Y. SYS ERROR. TCASII TA RA.
160,1400,4,AN LTT WAS FLYING OPPOSITE DIRECTION. IT HAD CANCELLED ADVISORIES SEVERAL MINS PRIOR. IT THEN FLEW OVER BAR HARBOR ARPT WITHOUT TALKING ON UNICOM. THIS ARPT IS VERY BUSY DURING SUMMER AND FALL MONTHS. AN SMA A ON FINAL TO RWY 4 TRIED TO REACH THE LTT ON UNICOM. IF IT HADN'T BEEN FOR THIS CALL; I WOULD NOT HAVE KNOWN THE LTT WAS IN THE AREA. BASED ON THE CALL FROM THE SMA A TO THIS LTT I STARTED A DSCNT. THE LTT TRANSITED THE AREA AT 1500-2000 AGL WITHOUT EVEN TALKING ON UNICOM. AT THE TIME THEY WERE 3 SMAS; A GLIDER; AND AN LTT B ALL WITHIN 5 MI OF THE ARPT. I WOULD LIKE TO SEE A PUBLISHED RECOMMENDATION FOR FLT AROUND BAR HARBOR/ARCADIA NATL PARK. AT THE TIME I WAS COMPLETING A SCENIC FLT AROUND THE ISLAND WITH 3 PAX. I HAD ON BOTH ROTATING BEACON STROBES AND LNDG LIGHTS. FOR THE PAST 50 YRS PEOPLE HAVE BEEN FLYING AROUND THE ISLAND IN A CLOCKWISE MANNER AND THIS HAS BECOME ACCEPTED PRACTICE IN THE AREA. BOTH THE LTT AND AN SMA C FLEW AROUND THE ISLAND IN A COUNTER CLOCKWISE MANNER THAT DAY. I MET THE SMA C ON THE OPPOSITE SIDE OF THE ISLAND EARLIER IN THE DAY (100 FT VERT 300 HORIZ). NEAR MISS. THE SMA C WAS MONITORING UNICOM AT THE TIME AND I INFORMED HIM OF THE ACCEPTED PRACTICE OF FLYING CLOCKWISE AROUND THE ISLAND AT THAT TIME. IN THIS TYPE OF FLYING ALL ACFT TEND TO SEEK THE LOWEST ALT THAT IS SMOOTH FOR THEIR SIGHTSEEING ACTIVITIES. THIS PUTS OPPOSITE DIRECTION ACFT IN DIRECT CONFLICT AROUND THE EDGES OF ARCADIA NATL PARK. ON THIS DAY THAT ALT WAS 1400 FT MSL. EVERY YEAR FOR THE PAST 5 YRS I HAVE HAD AT LEAST 2 SUCH INCIDENTS DURING THE SUMMER AND FALL SEASON.,nmac AT ltt fli through unctl field airspac NO com . AN ltt wa fli opposit direct . IT cancel advisori sever min prior . IT then flew over bar harbor arpt without talk ON unicom . thi arpt IS veri busi dure summer fall month . AN sma A ON final TO rwi 4 tri TO reach ltt ON unicom . IF IT n't been thi call ; I would not have known ltt wa IN area . base ON call sma A TO thi ltt I start A dscnt . ltt transit area AT 1500-2000 agl without even talk ON unicom . AT time they 3 sma ; A glider ; AN ltt B all within 5 MI OF arpt . I would like TO see A publish recommend flt around bar harbor/arcadia natl park . AT time I wa complet A scenic flt around island 3 pax . I ON both rotat beacon strobe lndg light . past 50 yr peopl have been fli around island IN A clockwis manner thi ha becom accept practic IN area . both ltt AN sma C flew around island IN A counter clockwis manner that day . I met sma C ON opposit side OF island earlier IN day ( 100 FT vert 300 horiz ) . near miss . sma C wa monitor unicom AT time I inform him OF accept practic OF fli clockwis around island AT that time . IN thi type OF fli all acft tend TO seek lowest alt that IS smooth their sightse activ . thi put opposit direct acft IN direct conflict around edg OF arcadia natl park . ON thi day that alt wa 1400 FT msl . everi year past 5 yr I have AT least 2 such incid dure summer fall season . ,NMAC AT LTT FLIES THROUGH UNCTLED FIELD AIRSPACE WITH NO COM.
161,6700,15,DURING DSCNT TO BDL IN CEILING AND VISIBILITY UNLIMITED; TCASII WAS ON AND IN RA/TA MODE. PASSING 9000 FT. ATC ADVISED TFC AT 11 O'CLOCK; 7 MI; NBOUND AT 6400 FT; UNCONFIRMED. NEXT CALL ATC: TFC 10:30; 3 MI; EBOUND. I EXTENDED THE WINGTIP LNDG LIGHTS AND CONTINUED VISUAL SCAN. I ALSO DISENGAGED THE AUTOPLT TO ENABLE EVASIVE ACTION IF WARRANTED. NEXT: TCASII ANNUNCIATED TFC AT 10:30 AND -1100 FT. STILL UNABLE TO FIND THE TFC. ANOTHER ATC ADVISEMENT OF TFC AS WE PASSED THROUGH 7000 FT. I ASSUMED WE HAD CLRED THE TFC (TFC BEHIND US). AS WE HAD NO CONTACT/VISUAL SIGHTING AND THE CONFLICTING ACFT WAS CLOSE TO OUR ALT IN CLR AIR. AS WE CONTINUED THROUGH 6700 FT A TCASII RESOLUTION WAS TRIGGERED. TCASII ADVISED; 'CLB; CLB' AND INDICATED 1500 FPM CLB WHICH WAS IMMEDIATELY FOLLOWED. AS WE REACHED 7000 FT LEVEL OFF WAS INDICATED. FLT CONTINUED UNEVENTFULLY TO BDL. CONCLUSIONS AND ANALYSIS: I BELIEVE THAT BDL TRACON MISJUDGED OUR VERT AND HORIZ FLT PATH. HIS EXPECTATION WAS THAT WE WOULD HAVE PASSED OVERHEAD THE TFC WHICH WAS AT AN UNCONFIRMED ALT. HE RELIED ON THIS TO ACHIEVE SEPARATION. NO VECTORS WERE GIVEN TO ASSURE HORIZ SEPARATION. I RELIED ON VISUALLY SIGHTING THE TFC THE WX WAS SO GOOD. AS A RESULT I DID NOT REQUEST A HDG TO ASSURE SEPARATION. I RELIED ON BDL TO PROVIDE HORIZ SEPARATION IN THE EVENT VISUAL SIGHTING WAS NOT ACHIEVED. MY NORMAL DSCNT PROFILE IS 240 KTS IAS/2200-2500 FPM. DURING DISCUSSION OF THE EVENT WITH BDL TRACON THE CTLR STATED OUR GND SPD WAS 270 KTS. I CAN ONLY ASSUME THAT THE ACFT WAS TRIMMED SLIGHTLY NOSE DOWN AND AS I BECAME INTENT ON THE TFC I ALLOWED THE SPD TO BUILD UP (ALTHOUGH I CAN HARDLY BELIEVE 270 KTS). I MAY HAVE PUSHED THE NOSE DOWN IN AN ATTEMPT TO INCREASE THE VISUAL SCAN AREA. THIS WOULD HAVE CREATED A RAPID DSCNT WHICH ELIMINATED THE REQUIRED VERT SEPARATION. CONCLUSION: IN THE FUTURE I WILL ALLOW OR ACCEPT ONLY HORIZ SEPARATION WITH VFR/IFR TFC AT UNCONFIRMED ALTS. IF NOT OFFERED; I WILL REQUEST THE SEPARATION. WITH THE INFO THE CTLR HAS ON THE TRACON DISPLAY; HE WAS IN A POS TO HAVE OFFERED A POSITIVE RESOLUTION WELL BEFORE THE SITUATION BECAME CRITICAL. I WOULD RECOMMEND AN EARLIER INITIATIVE ON THE PART OF THE CTLR.,acr ha tcasii RA ON dscnt ; clb . dure dscnt TO bdl IN ceil visibl unlimit ; tcasii wa ON IN ra/ta mode . pass 9000 ft. atc advis tfc AT 11 o'clock ; 7 MI ; nbound AT 6400 FT ; unconfirm . next call atc : tfc 10:30 ; 3 MI ; ebound . I extend wingtip lndg light continu visual scan . I also disengag autoplt TO enabl evas action IF warrant . next : tcasii annunci tfc AT 10:30 -1100 FT . still unabl TO find tfc . anoth atc advis OF tfc AS WE pass through 7000 FT . I assum WE clred tfc ( tfc behind US ) . AS WE NO contact/visu sight conflict acft wa close TO alt IN clr . AS WE continu through 6700 FT A tcasii resolut wa trigger . tcasii advis ; 'clb ; clb ' indic 1500 fpm clb which wa immedi . AS WE reach 7000 FT level off wa indic . flt continu unev TO bdl . conclus analysi : I believ that bdl tracon misjudg vert horiz flt path . hi expect wa that WE would have pass overhead tfc which wa AT AN unconfirm alt . HE reli ON thi TO achiev separ . NO vector given TO assur horiz separ . I reli ON visual sight tfc WX wa SO good . AS A result I did not request A hdg TO assur separ . I reli ON bdl TO provid horiz separ IN event visual sight wa not achiev . MY normal dscnt profil IS 240 kt ias/2200-2500 fpm . dure discuss OF event bdl tracon ctlr state gnd spd wa 270 kt . I can onli assum that acft wa trim slightli nose down AS I becam intent ON tfc I allow spd TO build UP ( although I can hardli believ 270 kt ) . I may have push nose down IN AN attempt TO increas visual scan area . thi would have creat A rapid dscnt which elimin requir vert separ . conclus : IN futur I will allow OR accept onli horiz separ vfr/ifr tfc AT unconfirm alt . IF not offer ; I will request separ . info ctlr ha ON tracon display ; HE wa IN A po TO have offer A posit resolut well befor situat becam critic . I would recommend AN earlier initi ON part OF ctlr . ,ACR HAS TCASII RA ON DSCNT; CLBS.
162,12000,70,WHILE TALKING WITH BOS CENTER ON FREQ 124.85; CENTER RPTED AN SMA AT OUR 11 O'CLOCK POS AT 12500 FT. THEY TOLD US WE COULD LEVEL OFF AT 13000 FT IF WE WANTED UNTIL WE SAW THE VFR TFC. WE WERE CLRED TO 12000. I SAW AN ACFT AS WE PASSED 12700 FT BUT IT WAS NO SMA. I CALLED CENTER TO RECONFIRM ALT AND TYPE OF ACFT AS WE PASSED 500 FT UNDER AN LTT. I ASKED FOR THE LTT ALT AND HE RPTED 12500 FT. I QUERIED CENTER. CENTER SAID WE COULD HAVE LEVELED AT 13000 FT. NO EVASIVE ACTION TAKEN; BUT TOO CLOSE FOR COMFORT.,flc OF lgt ON dscnt pass commut 500 FT . talk bo center ON freq 124.85 ; center rpted AN sma AT 11 o'clock po AT 12500 FT . they told US WE could level off AT 13000 FT IF WE want until WE saw vfr tfc . WE clred TO 12000 . I saw AN acft AS WE pass 12700 FT but IT wa NO sma . I call center TO reconfirm alt type OF acft AS WE pass 500 FT under AN ltt . I ask ltt alt HE rpted 12500 FT . I queri center . center said WE could have level AT 13000 ft. NO evas action taken ; but too close comfort . ,FLC OF LGT ON DSCNT PASSED COMMUTER 500 FT.
163,15000,15,I WAS TRAINING A PERSON IN THE RADAR POS AT BOSOX SECTOR IN AREA C IN BOSTON CENTER. WE HAD A FULL PERFORMANCE RADAR ASSOCIATE IN OUR D-SIDE. 30 MINS PRIOR TO THE INCIDENT; TFC WAS MODERATE WHICH THE RADAR TRAINEE WAS HANDLING SATISFACTORILY. (8-15 ACFT). ACR X BOS DEP AT 160 DIRECT BAF AN OVERFLT TO LGA. CPR Y WAS A PVD DEP (REQUESTING FL390) WHICH WE CLBED TO 110 AND TURNED 20 DEG L FOR TFC AT 120. ONCE WE CLRED THE 120 TFC WE CLBED TO 150. TFC HAD BUILT IN THE HFD VICINITY WHICH THE RADAR TRAINEE WAS SATISFACTORILY HANDLING. THE RADAR ASSOCIATE THEN RECEIVED A CALL FROM CTR SECTOR ON A POINT OUT ON AN ACR ORH DEP CLBING TO 160 DIRECT CTR. THE RADAR ASSOCIATE APPROVED THE POINT OUT. I TURNED TO THE RADAR ASSOCIATE AND SAID CALL THEM BACK AND TELL THEM UNABLE DUE TO TFC IN VICINITY AND ALSO TO MAKE SURE CTR SECTOR HAD A POINT OUT ON CPR Y AT 150; THE GET CTL REF ACR X AND OTHER ACR. THE RADAR ASSOCIATE COMPLETED THE CALL AND SAID 'IT'S ALL SET; CTR IS WATCHING CPR Y.' THE RADAR TRAINEE THEN TURNED CPR Y 30 DEGS R TO INITIATE CLB ONCE ACR X AT 160 WAS CLR. NEXT UPDATE ACR X DATA BLOCK SHOWED 160 DSNDING TO 140. I TOLD THE RADAR ASSOCIATE TO FIND OUT WHAT CTR WAS DOING REF CPR Y WHICH WE HAD TURNED 30 DEG R. CTR TOLD THE RADAR ASSOCIATE THEY WERE EXPEDITING THE ACR Y TO 140. ONCE THEY WERE CLR WE CLBED CPR Y TO 230. SEPARATION HAD BEEN LOST WHEN CTR DSNDED ACR X TO 140 WITH CPR Y IN CLOSE PROX AT 150. IT WAS MY UNDERSTANDING (AND ALSO THE RADAR TRAINEE'S) THAT ALL COORD WAS COMPLETED BY THE RADAR ASSOCIATE AND THAT CTR KNEW WHAT WE WERE DOING WITH CPR Y REF ACR Y COULD HAVE BEEN PREVENTED WITH BETTER COM AND COORD BTWN THE SECTORS INVOLVED AND BTWN THE RADAR ASSOCIATE AND RADAR POS.,acr X ltss cpr Y. sy error . I wa train A person IN radar po AT bosox sector IN area C IN boston center . WE A full perform radar associ IN d-side . 30 min prior TO incid ; tfc wa moder which radar traine wa handl satisfactorili . ( 8-15 acft ) . acr X bo dep AT 160 direct baf AN overflt TO lga . cpr Y wa A pvd dep ( request fl390 ) which WE clbed TO 110 turn 20 deg L tfc AT 120 . onc WE clred 120 tfc WE clbed TO 150 . tfc built IN hfd vicin which radar traine wa satisfactorili handl . radar associ then receiv A call ctr sector ON A point out ON AN acr orh dep clbing TO 160 direct ctr . radar associ approv point out . I turn TO radar associ said call them back tell them unabl due TO tfc IN vicin also TO make sure ctr sector A point out ON cpr Y AT 150 ; get ctl ref acr X other acr . radar associ complet call said 'it 'S all set ; ctr IS watch cpr Y . ' radar traine then turn cpr Y 30 deg R TO initi clb onc acr X AT 160 wa clr . next updat acr X block show 160 dsnding TO 140 . I told radar associ TO find out what ctr wa do ref cpr Y which WE turn 30 deg R. ctr told radar associ they expedit acr Y TO 140 . onc they clr WE clbed cpr Y TO 230 . separ been lost when ctr dsnded acr X TO 140 cpr Y IN close prox AT 150 . IT wa MY understand ( also radar traine 'S ) that all coord wa complet BY radar associ that ctr knew what WE do cpr Y ref acr Y could have been prevent better com coord btwn sector involv btwn radar associ radar po . ,ACR X HAD LTSS FROM CPR Y. SYS ERROR.
164,1900,6,AT APPROX XA45Z; ON AN IFR CLRNC; HAVING BEEN CLRED TO W FIELD VOR RWY 20 APCH AT 2100 MSL AND 1 NM OUTSIDE KLYDE INTXN; AN SMA A APPEARED UNDER THE R WING OF MY ACFT. I INFORMED THE BRADLEY CTLR; EXECUTED A 360 SHARP R TURN FOR SEPARATION; TOOK MY STUDENT OFF THE HOOD; CANCELLED MY IFR CLRNC AND CONTACTED THE W FIELD TWR. UPON COMPLETING THE TURN I NOTED THAT THE SMA A WAS DIRECTLY AHEAD AND AT MY ALT 1900 FT. I THEN FOLLOWED THE SMA A MAKING A STRAIGHT-IN APCH TO RWY 20 W FIELD. WHEN CLRING THE RWY I NOTED THE SMA A; WHITE WITH RED MARKINGS; NUMBER XYY. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATES HE CALLED APCH AFTER LNDG AND GOT NO SATISFACTION REGARDING SITUATION. INFORMED THE OTHER PLT WAS VFR AND HAD RPTR ACFT IN SIGHT. IF TRUE PROX WAS MUCH TOO CLOSE FOR RPTR. EXTREMELY STARTLING WITH NO WARNING. CTLR STATED HE HAD A TRAINEE AT THE TIME AND DID NOT WANT TO TAKE OVER TOO SOON. THIS IMMEDIATELY LED RPTR TO QUESTION JUST HOW CLOSE DO WE HAVE TO GET? RPTR HAS FRIEND IN FAA WHO SUGGESTED HE FILE ASRS RPT.,sma ON inst apch ha sma appear under R wing . nmac . AT approx xa45z ; ON AN ifr clrnc ; have been clred TO W field vor rwi 20 apch AT 2100 msl 1 NM outsid klyde intxn ; AN sma A appear under R wing OF MY acft . I inform bradley ctlr ; execut A 360 sharp R turn separ ; took MY student off hood ; cancel MY ifr clrnc contact W field twr . upon complet turn I note that sma A wa directli ahead AT MY alt 1900 FT . I then sma A make A straight-in apch TO rwi 20 W field . when clring rwi I note sma A ; white red mark ; number xyy . callback convers rptr reveal info : rptr state HE call apch after lndg got NO satisfact regard situat . inform other plt wa vfr rptr acft IN sight . IF true prox wa much too close rptr . extrem startl NO warn . ctlr state HE A traine AT time did not want TO take over too soon . thi immedi led rptr TO question just how close DO WE have TO get ? rptr ha friend IN faa who suggest HE file asr rpt . ,SMA ON INST APCH HAS SMA APPEAR UNDER R WING. NMAC.
165,1440,1,WHILE DOING TOUCH-AND-GOES IN MY SMA A; I WAS MIDWAY DOWNWIND FOR RWY 5 AT PATTERN ALT WHEN AN ACFT CAME DIRECTLY TOWARD ME AT THE SAME ALT DOING A R UPWIND FOR RWY 23. THE UNKNOWN ACFT DID A DIVING TURN TO THE L AND PASSED UNDER AND AWAY FROM ME TO MY R -- DISTANCE WAS APPROX 100 FT. I NOTED THE LAST 2 NUMBERS AND THE TYPE AS SMA B. AFTER LNDG AND TAXIING OFF THE RWY 5; THIS UNKNOWN ACFT LANDED BEHIND ME AND I WAS ABLE TO NOTE THE FULL TALL NUMBER. AFTER TYING DOWN MY ACFT I WENT INTO FBO OFFICE AT N CENTRAL AND RELATED THE INCIDENT TO PERSONNEL. AN ACQUAINTANCE IN THE OFFICE ASKED IF I GOT THE TAIL NUMBER? REPLYING XXXY; HE SAID 'OH; THAT'S OTHER FBO'S PLANE!' 'MR. X SEATED OVER THERE HAS BEEN TALKING TO THAT PLANE ALL ALONG ON PORTABLE COM RADIO.' THE INTENTIONS WERE UNKNOWN FROM THIS ACFT -- AT THE TIME OF ENTRY INTO THE UPWIND LNDG FOR RWY 23. THE ACFT DID NOT SEEM TO BE ON N CENTRAL UNICOM.,sma ON downwind AT unctl field ha nmac sma downwind opposit direct . do touch-and-go IN MY sma A ; I wa midway downwind rwi 5 AT pattern alt when AN acft came directli toward ME AT same alt do A R upwind rwi 23 . unknown acft did A dive turn TO L pass under away ME TO MY R -- distanc wa approx 100 FT . I note last 2 number type AS sma B . after lndg taxi off rwi 5 ; thi unknown acft land behind ME I wa abl TO note full tall number . after ty down MY acft I went into fbo offic AT N central relat incid TO personnel . AN acquaint IN offic ask IF I got tail number ? repli xxxi ; HE said 'oh ; that 'S other fbo 'S plane ! ' 'mr . X seat over there ha been talk TO that plane all along ON portabl com radio . ' intent unknown thi acft -- AT time OF entri into upwind lndg rwi 23 . acft did not seem TO BE ON N central unicom . ,SMA ON DOWNWIND AT UNCTLED FIELD HAS NMAC WITH SMA DOWNWIND OPPOSITE DIRECTION.
166,4000,10,DURING A NORMAL AEROBATIC TRAINING FLT AFTER COMPLETING A 180 DEG CLRING TURN I THOUGHT I SAW SOMETHING OVER MY R SHOULDER. I LOOKED AROUND AND DID NOT SEE ANYTHING. I BRIEFED MY STUDENT ON HOW TO DO A DEP STALL AND AFTER SLOWING DOWN TO DEP SPD WE ADDED PWR AND STARTED TO PULL UP. WE STARTED AT 4000 FT AND AS WE PASSED THROUGH 4300 I SPOTTED A TWIN ENG PLANE COMING OVER MY L SHOULDER APPROX 300 FT HIGHER. I PULLED THE PWR AND LOWERED THE NOSE AND WATCHED THE PLANE CONTINUE ON.,instructor spi practic maneuv ha nmac smt . dure A normal aerobat train flt after complet A 180 deg clring turn I thought I saw someth over MY R shoulder . I look around did not see anyth . I brief MY student ON how TO DO A dep stall after slow down TO dep spd WE ad pwr start TO pull UP . WE start AT 4000 FT AS WE pass through 4300 I spot A twin eng plane come over MY L shoulder approx 300 FT higher . I pull pwr lower nose watch plane continu ON . ,INSTRUCTOR WITH SPI PRACTICING MANEUVERS HAS NMAC WITH SMT.
167,14000,15,ATC ADVISED THAT COMPANY LTT HAD US IN SIGHT AND WOULD BE PASSING UNDER US. I HAD ACFT ON TCASII BUT COULD NOT SEE ACFT VISUALLY. I THEN RECEIVED A TCASII TA FOLLOWED BY A RA TO CLB. WE DEPARTED OUR ASSIGNED ALT TO FOLLOW RA. I VISUALLY CONTACTED COMPANY ACFT AS IT PASSED UNDER US. I ESTIMATE LESS THAN 500 FT. TCASII SHOWED IT AT 13600 OUR ASSIGNED ALT WAS 14000. RA CLBED US TO 14500. NO ATC SEPARATION WAS LOST AS RPTED BY ATC.,flc OF ltt tcasii RA . clbed 500 FT TO clr RA . atc advis that compani ltt US IN sight would BE pass under US . I acft ON tcasii but could not see acft visual . I then receiv A tcasii TA BY A RA TO clb . WE depart assign alt TO RA . I visual contact compani acft AS IT pass under US . I estim 500 ft. tcasii show IT AT 13600 assign alt wa 14000 . RA clbed US TO 14500 . NO atc separ wa lost AS rpted BY atc . ,FLC OF LTT HAD TCASII RA. CLBED 500 FT TO CLR RA.
