,before,after
185,APPROX,approx
186,20-30,20-30
187,YDS,yd
188,AWAY,away
189,.,.
190,I,I
191,TOOK,took
192,EVASIVE,evas
193,ACTION,action
194,BY,BY
195,EXECUTING,execut
196,A,A
197,QUICK,quick
198,CLBING,clbing
199,RIGHT,right
200,TURN,turn
201,.,.
202,IT,IT
203,APPEARED,appear
204,THE,the
205,SMT,smt
206,TOOK,took
207,NO,NO
208,EVASIVE,evas
209,ACTION,action
210,IN,IN
211,THIS,thi
212,INCIDENT,incid
213,.,.
214,I,I
215,BELIEVED,believ
216,THE,the
217,SITUATION,situat
218,OCCURRED,occur
219,BECAUSE,becaus
220,OF,OF
221,THE,the
222,LIMITED,limit
223,VIS,vi
224,DUE,due
225,TO,TO
226,THE,the
227,SUN,sun
228,AND,and
229,BECAUSE,becaus
230,OF,OF
231,THE,the
232,VECTOR,vector
233,BRADLEY,bradley
234,APCH,apch
235,ISSUED,issu
236,ME,ME
237,.,.
238,THE,the
239,ALTIMETER,altimet
240,SETTING,set
241,I,I
242,WAS,wa
243,GIVEN,given
244,WAS,wa
245,30-59,30-59
246,(,(
247,BY,BY
248,BRADLEY,bradley
249,),)
250,;,;
251,THE,the
252,SMT,smt
253,WAS,wa
254,SAID,said
255,TO,TO
256,BE,BE
257,VFR,vfr
258,.,.
259,I,I
260,WAS,wa
261,SHOWING,show
262,A,A
263,LNDG,lndg
264,LIGHT,light
265,AT,AT
266,THE,the
267,TIME,time
268,AND,and
269,I,I
270,WAS,wa
271,TRANSPONDER,transpond
272,EQUIPPED,equip
273,WITH,with
274,MODE,mode
275,C.,C.
276,CALLBACK,callback
277,CONVERSATION,convers
278,WITH,with
279,RPTR,rptr
280,REVEALED,reveal
281,THE,the
282,FOLLOWING,follow
283,:,:
284,THE,the
285,RPTR,rptr
286,FILED,file
287,A,A
288,NEAR,near
289,MISS,miss
290,RPT,rpt
291,WITH,with
292,THE,the
293,FAA,faa
294,AND,and
295,HAS,ha
296,BEEN,been
297,ADVISED,advis
298,THEY,they
299,ARE,are
300,CONTACTING,contact
301,THE,the
302,OTHER,other
303,PLT,plt
304,.,.
305,RPTR,rptr
306,HAS,ha
307,ALSO,also
308,SENT,sent
309,A,A
310,LETTER,letter
311,REQUESTING,request
312,THE,the
313,RESULTS,result
314,OF,OF
315,THEIR,their
316,INVESTIGATION,investig
317,.,.
318,RPTR,rptr
319,SAID,said
320,HE,HE
321,MADE,made
322,A,A
323,STANDARD,standard
324,RATE,rate
325,TURN,turn
326,TO,TO
327,THE,the
328,HDG,hdg
329,ASSIGNED,assign
330,BY,BY
331,BDL,bdl
332,AS,AS
333,SOON,soon
334,AS,AS
335,IT,IT
336,WAS,wa
337,GIVEN,given
338,BUT,but
339,DID,did
340,NOT,not
341,TRY,tri
342,TO,TO
343,TALK,talk
344,TO,TO
345,BDL,bdl
346,ABOUT,about
347,WHY,whi
348,THEY,they
349,GAVE,gave
350,THE,the
351,VECTOR,vector
352,.,.
353,CLOSE,close
354,PROX,prox
355,2,2
356,GA-SMA,ga-sma
357,ACFT,acft
358,IN,IN
359,TRAFFIC,traffic
360,PATTERN,pattern
361,AT,AT
362,PLM,plm
363,.,.
364,I,I
365,WAS,wa
366,INVOLVED,involv
367,IN,IN
368,A,A
369,NMAC,nmac
370,WHILE,while
371,ON,ON
372,FINAL,final
373,APCH,apch
374,TO,TO
375,RWY,rwi
376,24,24
377,AT,AT
378,PYM,pym
379,.,.
380,I,I
381,WAS,wa
382,CONDUCTING,conduct
383,A,A
384,PLT,plt
385,CHK,chk
386,FLT,flt
387,WITH,with
388,A,A
389,PVT,pvt
390,PLT,plt
391,WISHING,wish
392,TO,TO
393,HAVE,have
394,RENTAL,rental
395,PRIVILEGES,privileg
396,AT,AT
397,THE,the
398,FBO/FLT,fbo/flt
399,SCHOOL,school
400,WHERE,where
401,I,I
402,AM,AM
403,A,A
404,PART,part
405,TIME,time
406,CFI,cfi
407,.,.
408,I,I
409,CAN,can
410,ONLY,onli
411,ASSUME,assum
412,I,I
413,WAS,wa
414,INVOLVED,involv
415,IN,IN
416,A,A
417,MIDAIR,midair
418,NEAR,near
419,MISS,miss
420,BECAUSE,becaus
421,I,I
422,NEVER,never
423,HAD,had
424,THE,the
425,OTHER,other
426,ACFT,acft
427,IN,IN
428,SIGHT,sight
429,.,.
430,BUT,but
431,;,;
432,I,I
433,ASSUME,assum
434,IT,IT
435,DID,did
436,HAPPEN,happen
437,BASED,base
438,ON,ON
439,THE,the
440,STATEMENT,statement
441,OF,OF
442,THE,the
443,PLT,plt
444,OF,OF
445,THE,the
446,OTHER,other
447,ACFT,acft
448,.,.
449,WHILE,while
450,TAXIING,taxi
451,TO,TO
452,THE,the
453,ACTIVE,activ
454,RWY,rwi
455,I,I
456,ATTEMPTED,attempt
457,TO,TO
458,CONFIRM,confirm
459,WITH,with
460,THE,the
461,PLYMOUTH,plymouth
462,UNICOM,unicom
463,THAT,that
464,THE,the
465,ACFT,acft
466,RADIO,radio
467,WAS,wa
468,OPERATING,oper
469,PROPERLY,properli
470,.,.
471,I,I
472,NEVER,never
473,RECEIVED,receiv
474,A,A
475,RESPONSE,respons
476,FROM,from
477,THEM,them
478,TO,TO
479,MY,MY
480,REQUEST,request
481,FOR,for
482,A,A
483,RADIO,radio
484,CHK,chk
485,.,.
486,I,I
487,ASSUMED,assum
488,THE,the
489,ACFT,acft
490,RADIO,radio
491,WAS,wa
492,NOT,not
493,TRANSMITTING,transmit
494,BUT,but
495,DECIDED,decid
496,TO,TO
497,CONTINUE,continu
498,THE,the
499,FLT,flt
500,SINCE,sinc
501,USE,use
502,OF,OF
503,A,A
504,RADIO,radio
505,IS,IS
506,NOT,not
507,REQUIRED,requir
508,AT,AT
509,UNCTLED,unctl
510,ARPTS,arpt
511,.,.
512,TO,TO
513,HELP,help
514,PLTS,plt
515,SEE,see
516,US,US
517,BETTER,better
518,;,;
519,I,I
520,TURNED,turn
521,ON,ON
522,THE,the
523,ACFT,acft
524,'S,'S
525,NAV,nav
526,;,;
527,STROBE,strobe
528,AND,and
529,LNDG,lndg
530,LIGHTS,light
531,AND,and
532,LEFT,left
533,THEM,them
534,ON,ON
535,THROUGHOUT,throughout
536,THE,the
537,FLT,flt
538,.,.
539,ALSO,also
540,;,;
541,I,I
542,DID,did
543,BROADCAST,broadcast
544,MY,MY
545,POS,po
546,ANYWAY,anyway
547,WHILE,while
548,OPERATING,oper
549,IN,IN
550,THE,the
551,TFC,tfc
552,PATTERN,pattern
553,.,.
554,DURING,dure
555,THE,the
556,THIRD,third
557,LNDG,lndg
558,WE,WE
559,TURNED,turn
560,;,;
561,AND,and
562,AFTER,after
563,BEING,be
564,ESTABLISHED,establish
565,ON,ON
566,A,A
567,BASE,base
568,LEG,leg
569,I,I
570,HEARD,heard
571,THE,the
572,PLT,plt
573,OF,OF
574,AN,AN
575,SMA,sma
576,Y,Y
577,BROADCAST,broadcast
578,HE,HE
579,WAS,wa
580,ALSO,also
581,ON,ON
582,BASE,base
583,.,.
584,I,I
585,BEGAN,began
586,TO,TO
587,LOOK,look
588,FOR,for
589,HIM,him
590,.,.
591,ONCE,onc
592,MY,MY
593,ACFT,acft
594,WAS,wa
595,ON,ON
596,FINAL,final
597,;,;
598,A,A
599,FEW,few
600,SECS,sec
601,LATER,later
602,;,;
603,I,I
604,HEARD,heard
605,HIM,him
606,BROADCAST,broadcast
607,THAT,that
608,HE,HE
609,WAS,wa
610,GOING,go
611,AROUND,around
612,.,.
613,AT,AT
614,THIS,thi
615,POINT,point
616,I,I
617,STILL,still
618,DID,did
619,NOT,not
620,SEE,see
621,SMA,sma
622,Y,Y
623,AND,and
624,PROCEEDED,proceed
625,WITH,with
626,THE,the
627,LNDG,lndg
628,.,.
629,ONCE,onc
630,ON,ON
631,THE,the
632,RAMP,ramp
633,AND,and
634,AFTER,after
635,HE,HE
636,SHUT,shut
637,DOWN,down
638,;,;
639,HE,HE
640,CAME,came
641,OVER,over
642,TO,TO
643,ME,ME
644,AND,and
645,EXPLAINED,explain
646,HOW,how
647,CLOSE,close
648,WE,WE
649,HAD,had
650,COME,come
651,.,.
652,HE,HE
653,ALSO,also
654,TOLD,told
655,ME,ME
656,THAT,that
657,I,I
658,SHOT,shot
659,OUT,out
660,FROM,from
661,UNDER,under
662,HIM,him
663,.,.
664,SINCE,sinc
665,WE,WE
666,WERE,were
667,BOTH,both
668,FLYING,fli
669,LOW,low
670,WINGED,wing
671,ACFT,acft
672,;,;
673,I,I
674,CAN,can
675,ONLY,onli
676,COME,come
677,UP,UP
678,WITH,with
679,ONE,one
680,EXPLANATION,explan
681,.,.
682,IF,IF
683,I,I
684,WAS,wa
685,UNDER,under
686,AND,and
687,BEHIND,behind
688,HIM,him
689,;,;
690,I,I
691,WOULD,would
692,HAVE,have
693,HAD,had
694,TO,TO
695,SEE,see
696,HIM,him
697,.,.
698,MY,MY
699,EXPLANATION,explan
700,IS,IS
701,THAT,that
702,WE,WE
703,WERE,were
704,ALREADY,alreadi
705,ON,ON
706,FINAL,final
707,AND,and
708,PROCEEDING,proceed
709,TOWARD,toward
710,THE,the
711,RWY,rwi
712,AT,AT
713,ABOUT,about
714,70,70
715,KTS,kt
716,;,;
717,THE,the
718,FINAL,final
719,APCH,apch
720,SPD,spd
721,OF,OF
722,SMA,sma
723,Y,Y
724,IS,IS
725,63,63
726,KTS,kt
727,.,.
728,THE,the
729,SMA,sma
730,X,X
731,WITH,with
732,AN,AN
733,APCH,apch
734,SPD,spd
735,RECOMMENDED,recommend
736,BY,BY
737,ACFT,acft
738,MFTR,mftr
739,IS,IS
740,75,75
741,KTS,kt
742,;,;
743,WAS,wa
744,TURNING,turn
745,BASE,base
746,TO,TO
747,FINAL,final
748,.,.
749,OUR,our
750,SPD,spd
751,TOWARD,toward
752,THE,the
753,RWY,rwi
754,WOULD,would
755,CERTAINLY,certainli
756,SEEM,seem
757,LIKE,like
758,WE,WE
759,OVERTOOK,overtook
760,THE,the
761,ACFT,acft
762,;,;
763,BUT,but
764,AT,AT
765,THAT,that
766,TIME,time
767,WE,WE
768,WOULD,would
769,HAVE,have
770,BEEN,been
771,TRAVELING,travel
772,IN,IN
773,DIFFERENT,differ
774,DIRECTIONS,direct
775,.,.
776,FORTUNATELY,fortun
777,NO,NO
778,ACCIDENT,accid
779,OCCURRED,occur
780,.,.
781,SINCE,sinc
782,MY,MY
783,ACFT,acft
784,WAS,wa
785,UNDER,under
786,THE,the
787,SMA,sma
788,Y,Y
789,AND,and
790,ON,ON
791,FINAL,final
792,WE,WE
793,HAD,had
794,THE,the
795,RIGHT,right
796,OF,OF
797,WAY,way
798,.,.
799,THE,the
800,PLT,plt
801,OF,OF
802,THE,the
803,SMA,sma
804,Y,Y
805,RPTED,rpted
806,A,A
807,NMAC,nmac
808,RPT,rpt
809,WITH,with
810,THE,the
811,NE,NE
812,FSDO,fsdo
813,OFFICE,offic
814,.,.
815,SINCE,sinc
816,I,I
817,WAS,wa
818,IN,IN
819,THE,the
820,RIGHT,right
821,SEAT,seat
822,;,;
823,THE,the
824,BASE,base
825,TO,TO
826,FINAL,final
827,TURN,turn
828,WOULD,would
829,HAVE,have
830,POSITIONED,posit
831,THE,the
832,ROOF,roof
833,OF,OF
834,THE,the
835,SMA,sma
836,X,X
837,TO,TO
838,BLOCK,block
839,ANY,ani
840,TFC,tfc
841,ABOVE,abov
842,US,US
843,.,.
844,OUR,our
845,APCH,apch
846,SPDS,spd
847,WERE,were
848,APPROX,approx
849,70,70
850,KTS,kt
851,OR,OR
852,LOWER,lower
853,;,;
854,SINCE,sinc
855,I,I
856,INSIST,insist
857,ON,ON
858,THIS,thi
859,WITH,with
860,STUDENTS,student
861,AND,and
862,WAS,wa
863,PAYING,pay
864,PARTICULAR,particular
865,ATTN,attn
866,TO,TO
867,HOW,how
868,THE,the
869,PVT,pvt
870,PLT,plt
871,I,I
872,WAS,wa
873,CHKING,chking
874,WAS,wa
875,HANDLING,handl
876,THE,the
877,ACFT,acft
878,.,.
879,ALL,all
880,3,3
881,TIMES,time
882,WE,WE
883,FLEW,flew
884,THE,the
885,TFC,tfc
886,PATTERN,pattern
887,PROPER,proper
888,ALTS,alt
889,;,;
890,TURNS,turn
891,;,;
892,ETC,etc
893,;,;
894,WERE,were
895,MADE,made
896,CLOSE,close
897,PROX,prox
898,GA,GA
899,SMA,sma
900,AND,and
901,PARACHUTIST,parachutist
902,IN,IN
903,RESTRICTED,restrict
904,AREA,area
905,THAT,that
906,WAS,wa
907,ADVERTISED,advertis
908,NOT,not
909,ACTIVE,activ
910,.,.
911,WHILE,while
912,ON,ON
913,CROSS-COUNTRY,cross-countri
914,VFR,vfr
915,FROM,from
916,ORANGE,orang
917,;,;
918,MA,MA
919,TO,TO
920,HANSCOM,hanscom
921,(,(
922,BED,bed
923,),)
924,;,;
925,HAD,had
926,NEAR,near
927,COLLISION,collis
928,WITH,with
929,PARACHUTIST,parachutist
930,AT,AT
931,OR,OR
932,NEAR,near
933,RESTR,restr
934,AREA,area
935,R-4102,r-4102
936,A,A
937,&,&
938,B,B
939,AT,AT
940,FT,FT
941,DEVENS,deven
942,;,;
943,MA,MA
944,.,.
945,I,I
946,HAD,had
947,A,A
948,FULL,full
949,PREFLT,preflt
950,BRIEFING,brief
951,FROM,from
952,THE,the
953,BRIDGEPORT,bridgeport
954,FSS,fss
955,WITH,with
956,NOTAMS,notam
957,APPROX,approx
958,1,1
959,HR,HR
960,PRIOR,prior
961,TO,TO
962,DEP,dep
963,.,.
964,NO,NO
965,NOTAMS,notam
966,INDICATED,indic
967,THAT,that
968,R-4102,r-4102
969,A,A
970,&,&
971,B,B
972,WAS/WERE,was/wer
973,ACTIVE,activ
974,.,.
975,NORMAL,normal
976,ACTIVE,activ
977,DAY,day
978,IS,IS
979,SAT,sat
980,ONLY,onli
981,.,.
982,MANY,mani
983,PLTS,plt
984,THINK,think
985,THAT,that
986,THERE,there
987,CAN,can
988,BE,BE
989,NO,NO
990,ACTIVITY,activ
991,IN,IN
992,AN,AN
993,INACTIVE,inact
994,RESTR,restr
995,AREA,area
996,.,.
997,THE,the
998,LEGEND,legend
999,ON,ON
1000,AERONAUTICAL,aeronaut
1001,CHARTS,chart
1002,SHOULD,should
1003,REMIND,remind
1004,PLTS,plt
1005,THAT,that
1006,SOME,some
1007,CIVILIAN,civilian
1008,OR,OR
1009,MIL,mil
1010,OPS,op
1011,ARE,are
1012,STILL,still
1013,POSSIBLE,possibl
1014,EVEN,even
1015,IN,IN
1016,AN,AN
1017,INACTIVE,inact
1018,RESTR,restr
1019,AREA,area
1020,.,.
1021,NO,NO
1022,ACCIDENT,accid
1023,RESULTED,result
1024,IN,IN
1025,THIS,thi
1026,INCIDENT,incid
1027,;,;
1028,BUT,but
1029,VERT,vert
1030,DSNDING,dsnding
1031,PARACHUTES,parachut
1032,ARE,are
1033,VERY,veri
1034,DIFFICULT,difficult
1035,TO,TO
1036,SIGHT,sight
1037,AND,and
1038,AVOID,avoid
1039,.,.
1040,I,I
1041,WAS,wa
1042,ABLE,abl
1043,TO,TO
1044,MAKE,make
1045,A,A
1046,SHALLOW,shallow
1047,BANKED,bank
1048,TURN,turn
1049,TO,TO
1050,AVOID,avoid
1051,THE,the
1052,PARACHUTE,parachut
1053,.,.
1054,LESS,less
1055,THAN,than
1056,STANDARD,standard
1057,SEPARATON,separaton
1058,AND,and
1059,NMAC,nmac
1060,BETWEEN,between
1061,COMMUTER,commut
1062,AND,and
1063,SMA,sma
1064,ACFT,acft
1065,.,.
1066,OPERATIONAL,oper
1067,ERROR,error
1068,.,.
1069,UPON,upon
1070,REACHING,reach
1071,MADISON,madison
1072,VOR,vor
1073,WE,WE
1074,REQUESTED,request
1075,CLRNC,clrnc
1076,DIRECT,direct
1077,TO,TO
1078,PVD,pvd
1079,AND,and
1080,WERE,were
1081,ADVISED,advis
1082,BY,BY
1083,BOS,bo
1084,CENTER,center
1085,THAT,that
1086,QUONSET,quonset
1087,WOULD,would
1088,ISSUE,issu
1089,THAT,that
1090,CLRNC,clrnc
1091,.,.
1092,WE,WE
1093,CONTACTED,contact
1094,QUONSET,quonset
1095,TRACON,tracon
1096,ON,ON
1097,133.85,133.85
1098,;,;
1099,REQUESTED,request
1100,AND,and
1101,WERE,were
1102,GRANTED,grant
1103,'DIRECT,'direct
1104,PVD,pvd
1105,.,.
1106,','
1107,AS,AS
1108,OUR,our
1109,POS,po
1110,WAS,wa
1111,SOMEWHAT,somewhat
1112,S,S
1113,AND,and
1114,W,W
1115,OF,OF
1116,THE,the
1117,ARPT,arpt
1118,;,;
1119,AND,and
1120,THE,the
1121,LNDG,lndg
1122,RWYS,rwi
1123,WERE,were
1124,23L/23R,23l/23r
1125,;,;
1126,WE,WE
1127,WERE,were
1128,GIVEN,given
1129,A,A
1130,VECTOR,vector
1131,ON,ON
1132,A,A
1133,050,050
1134,DEG,deg
1135,HDG,hdg
1136,AND,and
1137,TOLD,told
1138,TO,TO
1139,DSND,dsnd
1140,TO,TO
1141,5000,5000
1142,','
1143,;,;
1144,AT,AT
1145,WHICH,which
1146,TIME,time
1147,ALL,all
1148,LNDG,lndg
1149,LIGHTS,light
1150,WERE,were
1151,ILLUMINATED,illumin
1152,.,.
1153,WE,WE
1154,WERE,were
1155,THEN,then
1156,CLRED,clred
1157,TO,TO
1158,2500,2500
1159,','
1160,.,.
1161,UPON,upon
1162,REACHING,reach
1163,THE,the
1164,SITUATE,situat
1165,RESERVOIR,reservoir
1166,;,;
1167,APPROX,approx
1168,7,7
1169,MI,MI
1170,W,W
1171,OF,OF
1172,THE,the
1173,ARPT,arpt
1174,;,;
1175,WE,WE
1176,WERE,were
1177,TURNED,turn
1178,OVER,over
1179,TO,TO
1180,ANOTHER,anoth
1181,QUONSET,quonset
1182,CTLR,ctlr
1183,ON,ON
1184,124.5,124.5
1185,.,.
1186,WE,WE
1187,ADVISED,advis
1188,THE,the
1189,CTLR,ctlr
1190,THAT,that
1191,WE,WE
1192,HAD,had
1193,THE,the
1194,ARPT,arpt
1195,IN,IN
1196,SIGHT,sight
1197,.,.
1198,HE,HE
1199,TOLD,told
1200,US,US
1201,WE,WE
1202,WERE,were
1203,CLRED,clred
1204,FOR,for
1205,THE,the
1206,VISUAL,visual
1207,TO,TO
1208,RWY,rwi
1209,23L,23l
1210,AND,and
1211,TO,TO
1212,STAY,stay
1213,WITH,with
1214,HIM,him
1215,.,.
1216,AT,AT
1217,THIS,thi
1218,TIME,time
1219,;,;
1220,WE,WE
1221,WERE,were
1222,ADVISED,advis
1223,THAT,that
1224,THERE,there
1225,WAS,wa
1226,TFC,tfc
1227,2,2
1228,MI,MI
1229,N,N
1230,OF,OF
1231,THE,the
1232,ARPT,arpt
1233,AT,AT
1234,1800,1800
1235,','
1236,.,.
1237,NO,NO
1238,FURTHER,further
1239,INFO,info
1240,ABOUT,about
1241,THIS,thi
1242,ACFT,acft
1243,WAS,wa
1244,GIVEN,given
1245,.,.
1246,WE,WE
1247,PROCEEDED,proceed
1248,INBND,inbnd
1249,TO,TO
1250,THE,the
1251,ARPT,arpt
1252,ON,ON
1253,APPROX,approx
1254,A,A
1255,070,070
1256,DEG,deg
1257,HDG,hdg
1258,.,.
1259,AT,AT
1260,THIS,thi
1261,POINT,point
1262,WE,WE
1263,WERE,were
1264,APPROX,approx
1265,1-2,1-2
1266,NM,NM
1267,W,W
1268,OF,OF
1269,THE,the
1270,ARPT,arpt
1271,AND,and
1272,WERE,were
1273,UNABLE,unabl
1274,TO,TO
1275,CONTACT,contact
1276,THE,the
1277,CTLR,ctlr
1278,WHO,who
1279,WAS,wa
1280,TALKING,talk
1281,TO,TO
1282,ANOTHER,anoth
1283,ACFT,acft
1284,.,.
1285,AT,AT
1286,A,A
1287,POINT,point
1288,APPROX,approx
1289,2,2
1290,MI,MI
1291,N,N
1292,OF,OF
1293,THE,the
1294,ARPT,arpt
1295,;,;
1296,AND,and
1297,ON,ON
1298,APPROX,approx
1299,A,A
1300,075,075
1301,DEG,deg
1302,HDG,hdg
1303,;,;
1304,WE,WE
1305,SAW,saw
1306,SMA,sma
1307,Y,Y
1308,;,;
1309,APPARENTLY,appar
1310,A,A
1311,TFC,tfc
1312,RPTR,rptr
1313,.,.
1314,AT,AT
1315,THE,the
1316,TIME,time
1317,I,I
1318,SAW,saw
1319,ACFT,acft
1320,Y,Y
1321,HE,HE
1322,WAS,wa
1323,AT,AT
1324,OUR,our
1325,12,12
1326,O'CLOCK,o'clock
1327,POS,po
1328,AND,and
1329,LESS,less
1330,THAN,than
1331,1,1
1332,MI,MI
1333,;,;
1334,AT,AT
1335,THE,the
1336,SAME,same
1337,ALT,alt
1338,;,;
1339,OPP,opp
1340,DIRECTION,direct
1341,.,.
1342,WE,WE
1343,ALTERED,alter
1344,COURSE,cours
1345,TO,TO
1346,THE,the
1347,LEFT,left
1348,AND,and
1349,PASSED,pass
1350,BY,BY
1351,THE,the
1352,ACFT,acft
1353,.,.
1354,AS,AS
1355,SOON,soon
1356,AS,AS
1357,THIS,thi
1358,HAD,had
1359,OCCURRED,occur
1360,;,;
1361,QUONSET,quonset
1362,ADVISED,advis
1363,US,US
1364,TO,TO
1365,CONTACT,contact
1366,PVD,pvd
1367,TWR,twr
1368,FOR,for
1369,LNDG,lndg
1370,CLRNC,clrnc
1371,.,.
1372,NO,NO
1373,MENTION,mention
1374,ABOUT,about
1375,ACFT,acft
1376,Y,Y
1377,.,.
1378,WHEN,when
1379,WE,WE
1380,CAME,came
1381,UP,UP
1382,ON,ON
1383,THE,the
1384,TWR,twr
1385,FREQ,freq
1386,;,;
1387,120.70,120.70
1388,;,;
1389,THE,the
1390,PLT,plt
1391,OF,OF
1392,Y,Y
1393,WAS,wa
1394,TALKING,talk
1395,TO,TO
1396,THE,the
1397,TWR,twr
1398,ABOUT,about
1399,US,US
1400,.,.
1401,WE,WE
1402,CALLED,call
1403,THE,the
1404,TWR,twr
1405,;,;
1406,ADVISED,advis
1407,THAT,that
1408,WE,WE
1409,HAD,had
1410,JUST,just
1411,BEEN,been
1412,TURNED,turn
1413,OVER,over
1414,TO,TO
1415,HIM,him
1416,BY,BY
1417,QUONSET,quonset
1418,.,.
1419,WE,WE
1420,WERE,were
1421,CLRED,clred
1422,TO,TO
1423,LAND,land
1424,.,.
1425,AFTER,after
1426,LNDG,lndg
1427,;,;
1428,I,I
1429,CALLED,call
1430,BOTH,both
1431,PVD,pvd
1432,TWR,twr
1433,AND,and
1434,QUONSET,quonset
1435,TRACON,tracon
1436,.,.
1437,THE,the
1438,TWR,twr
1439,PERSONNEL,personnel
1440,SEEMED,seem
1441,RATHER,rather
1442,PUT,put
1443,OUT,out
1444,THAT,that
1445,QUONSET,quonset
1446,HAD,had
1447,NOT,not
1448,TURNED,turn
1449,OUR,our
1450,FLT,flt
1451,OVER,over
1452,TO,TO
1453,THE,the
1454,TWR,twr
1455,EARLIER,earlier
1456,.,.
1457,AT,AT
1458,QUONSET,quonset
1459,TRACON,tracon
1460,I,I
1461,SPOKE,spoke
1462,TO,TO
1463,THE,the
1464,WATCH,watch
1465,SUPVR,supvr
1466,AND,and
1467,WAS,wa
1468,ADVISED,advis
1469,THAT,that
1470,A,A
1471,TRNEE,trnee
1472,HAD,had
1473,BEEN,been
1474,ON,ON
1475,THE,the
1476,POS,po
1477,AND,and
1478,HAD,had
1479,BEEN,been
1480,RELIEVED,reliev
1481,SHORTLY,shortli
1482,AFTER,after
1483,THE,the
1484,INCIDENT,incid
1485,.,.
1486,SMA,sma
1487,CONDUCTING,conduct
1488,ACROBATIC,acrobat
1489,TRAINING,train
1490,HAS,ha
1491,NMAC,nmac
1492,WITH,with
1493,SMT,smt
1494,.,.
1495,THIS,thi
1496,WAS,wa
1497,AN,AN
1498,AEROBATIC,aerobat
1499,TRNING,trning
1500,LESSON,lesson
1501,.,.
1502,OUR,our
1503,ACFT,acft
1504,WAS,wa
1505,JUST,just
1506,RECOVERING,recov
1507,FROM,from
1508,A,A
1509,WING,wing
1510,OVER,over
1511,(,(
1512,NOSE,nose
1513,APPROX,approx
1514,10,10
1515,DEGS,deg
1516,BELOW,below
1517,HORIZON,horizon
1518,AND,and
1519,RISING,rise
1520,;,;
1521,BANK,bank
1522,APPROX,approx
1523,30,30
1524,DEGS,deg
1525,AND,and
1526,ROLLING,roll
1527,OUT,out
1528,),)
1529,.,.
1530,AT,AT
1531,THIS,thi
1532,TIME,time
1533,MY,MY
