 ,Time,Time,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
193461,199110,1201-1800,6B6,MA,,0,4,,VMC,10,,Daylight,,,,Personal,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,,None,Personal,,Landing; Landing,,Class G 6B6,,,,,,,,,,,,,,,,,Small Aircraft,,1,,,,,Initial Approach,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 3; Flight Crew Total 680; Flight Crew Type 3,,,,193461,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private,,,,,,Conflict Ground Conflict; Critical; Conflict NMAC; Other Unspecified,Horizontal 50; Vertical 50,,Person Other Person,,Aircraft Aircraft Damaged; Flight Crew Took Evasive Action,,Human Factors,"I HAVE LANDED AT MINUTE MAN SEVERAL TIMES IN THE PAST BUT ALWAYS APCHING FROM THE E OR NE. THIS DAY I FLEW IN FROM THE W; CALLED UNICOM FOR THE ADVISORY AND SET MYSELF UP FOR WHAT I THOUGHT WAS THE L DOWNWIND FOR 21; THEN L BASE AND FINAL; CALLING MY ACTIONS ON UNICOM THROUGHOUT THE PATTERN. AS I BEGAN MY FLARE TO LAND; I NOTICED OPPOSITE DIRECTION TFC ON FINAL FOR THE CORRECT 21. I WAS; IN FACT; LNDG ON 3 WHICH WAS UNMARKED. I IMMEDIATELY EXECUTED A GAR STEERING TO THE R OF THE RWY OVER THE GRASS. THE OPPOSITE DIRECTION TFC WENT BY HIGH AND TO MY L. AS I WAS IN FULL PWR; FLAPS DOWN CONFIGN APPROX 4 FT AGL; A WOODEN SAW HORSE WAS IN MY FLT PATH CONSEQUENTLY STRIKING IT WITH MY ACFT PROP. AVOIDING THE SAW HORSE WAS IMPOSSIBLE DUE TO A ROW OF PARKED ACFT FARTHER TO THE R OR THE UNKNOWN FLT PATH OF THE OPPOSITE DIRECTION TFC ON THE L. AFTER THE STRIKE; MY ACFT CLBED OUT OF THE AIRFIELD NORMALLY. I THEN ELECTED TO LAND AT NEARBY HANSCOM FIELD; WHICH IS MY HOME BASE; TO ASSESS DAMAGE TO THE ACFT. THERE WERE NO PERSONAL INJURIES. I FIRMLY BELIEVE A CONTRIBUTING FACTOR TO THE ACCIDENT AND NEAR MISS WAS THE ABSENCE OF THE RWY DIRECTION NUMBER WHICH SHOULD HAVE BEEN PAINTED ON THE APCH END OF 3 TO WARN ME OR ANYONE ELSE OF A POSSIBLE ERROR IN LNDG. I ALSO FEEL SOMEONE AT THE AIRFIELD WAS NEGLIGENT IN ALLOWING A WOODEN SAW HORSE TO BE OUT IN THE OPEN NEAR AN ACTIVE RWY. AFTER LNDG AT HANSCOM I CALLED MGR AT FBO AVIATION TO ADVISE HIM OF THE INCIDENT. HE THEN INFORMED ME THE RWY DIRECTION NUMBER 3 WAS REMOVED FOR SOME REASON. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATES THE GENTLEMAN HE SPOKE WITH WAS VAGUE ABOUT THE REASON THE NUMBERS WERE REMOVED. CONSTRUCTION OR SOMETHING. HE STATED WHEN QUESTIONED THAT HE DID NOT OVERFLY THE ARPT TO CHK TFC. THEN INFORMED ANALYST 'OH; THERE WAS NO TFC; JUST THE 1 PLANE'! BLAMED INCIDENT ON HIS OWN COMPLACENCY; BECAUSE HE HAD FLOWN INTO THIS ARPT BEFORE. ANALYST AGREES WITH MAJOR COMPLACENCY.",,,,"PLT LINES UP FOR WRONG RWY FOR LNDG. ALMOST MEETS OPPOSITE DIRECTION TFC ALSO LNDG.",
193681,199111,0601-1200,PVD,RI,10,16,,2000,Marginal,8,,Daylight,2700,,TRACON PVD,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Cruise; Cruise; Descent; Descent,Vectors,Class C PVD,,,,,,,,,,,,,,,,,Small Transport; Low Wing; 2 Recip Eng,,2,,IFR,Training,,Cruise; Cruise,Vectors,,,,,,,,,,,,,,Government,Approach,Air Traffic Control Fully Certified,Air Traffic Control Radar 2,,,,193681,,,,Pilot Flying; Captain,Flight Crew Air Transport Pilot (ATP),,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Deviation - Procedural Published Material / Policy,Horizontal 12000; Vertical 500,,Automation Aircraft Other Automation; Person Air Traffic Control,,Air Traffic Control Issued New Clearance; Flight Crew Took Evasive Action,,Human Factors,"I WAS INVOLVED IN AN OPERROR ON NOV/WED/91. AT THE TIME THE ERROR OCCURRED MY ATTN WAS DIVERTED TO A LOST ACFT THAT I WAS TRYING TO VECTOR TO AN ARPT IN MY AIRSPACE. ACR X WAS GIVEN A DSCNT TO 2000 AND A VECTOR OF 070 DEGS AND TOLD TO RPT THE ARPT IN SIGHT. SMT Y WAS BEING VECTORED TO A SECOND PRACTICE APCH; I ASSUMED THIS ACFT WAS VFR ON PRACTICE APCHS; AND WANTED AN IFR CLRNC TO THE ISLIP ARPT AFTER HE FINISHED. I HAD A THIRD ACFT ON APCH TO ANOTHER ARPT; WHICH TOOK MORE OF MY ATTN. I WAS AGAIN DIVERTED TO THE LOST ACFT. ACR X ADVISED ME THAT HE HAD AN ACFT AT HIS 10 O'CLOCK POS 4 MI; AND I THEN ISSUED A 180 DEG HDG. HE ADVISED THAT TCASII WAS TELLING HIM TO CLB; I ROGERED HIS XMISSION. I SOON AFTER CLRED ACR X FOR AN ILS APCH. I LATER WAS RELIEVED AND INFORMED MY SUPVR OF THE INCIDENT. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: THE RPTR STATED THE SUPVR WAS AT THE POS TO PROVIDE ASSISTANCE WITH THE LOST ACFT. CONFLICT ALERT HAD ACTIVATED BTWN ACR X AND SMT Y. WHEN THE RPTR TURNED ACR X SEPARATION REDUCED TO 1.6 MI AND 200 FT. ACR X HAD A TCASII RA AND CLBED 300 FT. THE RPTR SAID HE SHOULD HAVE KNOWN SMT Y WAS IFR BECAUSE THE DATA TAG DID NOT HAVE A V INDICATING THE ACFT WAS VFR.",,,,"ACR X HAD LTSS FROM SMT Y. SYS ERROR. TCASII TA RA.",
194481,199110,1201-1800,BHB,ME,,4,,1400,VMC,20,,Daylight,,,,Air Taxi,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,,VFR,Passenger,,Descent; Cruise; Cruise; Descent,,Class G BHB,,,,,,,,,,,,,,,,,Light Transport; Low Wing; 2 Turbojet Eng,,1,,,,,Cruise; Cruise,,,,,,,,,,,,,,,Other Compensated GA,Pilot Flying; Single Pilot,Flight Crew Instrument; Flight Crew Flight Instructor; Flight Crew Commercial,Flight Crew Total 1900,,,,194481,,,Other Compensated GA,Single Pilot; Pilot Flying,Flight Crew Commercial; Flight Crew Instrument,,,,,,Conflict Airborne Conflict; Deviation - Procedural FAR; Other Unspecified,Horizontal 700; Vertical 300,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"AN LTT WAS FLYING OPPOSITE DIRECTION. IT HAD CANCELLED ADVISORIES SEVERAL MINS PRIOR. IT THEN FLEW OVER BAR HARBOR ARPT WITHOUT TALKING ON UNICOM. THIS ARPT IS VERY BUSY DURING SUMMER AND FALL MONTHS. AN SMA A ON FINAL TO RWY 4 TRIED TO REACH THE LTT ON UNICOM. IF IT HADN'T BEEN FOR THIS CALL; I WOULD NOT HAVE KNOWN THE LTT WAS IN THE AREA. BASED ON THE CALL FROM THE SMA A TO THIS LTT I STARTED A DSCNT. THE LTT TRANSITED THE AREA AT 1500-2000 AGL WITHOUT EVEN TALKING ON UNICOM. AT THE TIME THEY WERE 3 SMAS; A GLIDER; AND AN LTT B ALL WITHIN 5 MI OF THE ARPT. I WOULD LIKE TO SEE A PUBLISHED RECOMMENDATION FOR FLT AROUND BAR HARBOR/ARCADIA NATL PARK. AT THE TIME I WAS COMPLETING A SCENIC FLT AROUND THE ISLAND WITH 3 PAX. I HAD ON BOTH ROTATING BEACON STROBES AND LNDG LIGHTS. FOR THE PAST 50 YRS PEOPLE HAVE BEEN FLYING AROUND THE ISLAND IN A CLOCKWISE MANNER AND THIS HAS BECOME ACCEPTED PRACTICE IN THE AREA. BOTH THE LTT AND AN SMA C FLEW AROUND THE ISLAND IN A COUNTER CLOCKWISE MANNER THAT DAY. I MET THE SMA C ON THE OPPOSITE SIDE OF THE ISLAND EARLIER IN THE DAY (100 FT VERT 300 HORIZ). NEAR MISS. THE SMA C WAS MONITORING UNICOM AT THE TIME AND I INFORMED HIM OF THE ACCEPTED PRACTICE OF FLYING CLOCKWISE AROUND THE ISLAND AT THAT TIME. IN THIS TYPE OF FLYING ALL ACFT TEND TO SEEK THE LOWEST ALT THAT IS SMOOTH FOR THEIR SIGHTSEEING ACTIVITIES. THIS PUTS OPPOSITE DIRECTION ACFT IN DIRECT CONFLICT AROUND THE EDGES OF ARCADIA NATL PARK. ON THIS DAY THAT ALT WAS 1400 FT MSL. EVERY YEAR FOR THE PAST 5 YRS I HAVE HAD AT LEAST 2 SUCH INCIDENTS DURING THE SUMMER AND FALL SEASON.",,,,"NMAC AT LTT FLIES THROUGH UNCTLED FIELD AIRSPACE WITH NO COM.",
194490,199111,0601-1200,BDL,CT,,15,,6700,VMC,,,Daylight,,,TRACON BDL,Air Carrier,Medium Large Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,Passenger,,Descent; Descent,Vectors,Class E BDL,,,,,,,,,,,,,,,,,Any Unknown or Unlisted Aircraft Manufacturer,,,,VFR,,,Cruise; Cruise,,,,,,,,,,,,,,,Air Carrier,Captain; Pilot Flying,Flight Crew Flight Engineer; Flight Crew Air Transport Pilot (ATP); Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 150; Flight Crew Total 12000; Flight Crew Type 5000,,,,194490,,,Air Carrier,First Officer,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,,,,Conflict NMAC; Other Unspecified,Horizontal 0; Vertical 300,,Automation Aircraft Other Automation; Person Flight Crew,,Flight Crew Took Evasive Action,,Ambiguous,"DURING DSCNT TO BDL IN CEILING AND VISIBILITY UNLIMITED; TCASII WAS ON AND IN RA/TA MODE. PASSING 9000 FT. ATC ADVISED TFC AT 11 O'CLOCK; 7 MI; NBOUND AT 6400 FT; UNCONFIRMED. NEXT CALL ATC: TFC 10:30; 3 MI; EBOUND. I EXTENDED THE WINGTIP LNDG LIGHTS AND CONTINUED VISUAL SCAN. I ALSO DISENGAGED THE AUTOPLT TO ENABLE EVASIVE ACTION IF WARRANTED. NEXT: TCASII ANNUNCIATED TFC AT 10:30 AND -1100 FT. STILL UNABLE TO FIND THE TFC. ANOTHER ATC ADVISEMENT OF TFC AS WE PASSED THROUGH 7000 FT. I ASSUMED WE HAD CLRED THE TFC (TFC BEHIND US). AS WE HAD NO CONTACT/VISUAL SIGHTING AND THE CONFLICTING ACFT WAS CLOSE TO OUR ALT IN CLR AIR. AS WE CONTINUED THROUGH 6700 FT A TCASII RESOLUTION WAS TRIGGERED. TCASII ADVISED; 'CLB; CLB' AND INDICATED 1500 FPM CLB WHICH WAS IMMEDIATELY FOLLOWED. AS WE REACHED 7000 FT LEVEL OFF WAS INDICATED. FLT CONTINUED UNEVENTFULLY TO BDL. CONCLUSIONS AND ANALYSIS: I BELIEVE THAT BDL TRACON MISJUDGED OUR VERT AND HORIZ FLT PATH. HIS EXPECTATION WAS THAT WE WOULD HAVE PASSED OVERHEAD THE TFC WHICH WAS AT AN UNCONFIRMED ALT. HE RELIED ON THIS TO ACHIEVE SEPARATION. NO VECTORS WERE GIVEN TO ASSURE HORIZ SEPARATION. I RELIED ON VISUALLY SIGHTING THE TFC THE WX WAS SO GOOD. AS A RESULT I DID NOT REQUEST A HDG TO ASSURE SEPARATION. I RELIED ON BDL TO PROVIDE HORIZ SEPARATION IN THE EVENT VISUAL SIGHTING WAS NOT ACHIEVED. MY NORMAL DSCNT PROFILE IS 240 KTS IAS/2200-2500 FPM. DURING DISCUSSION OF THE EVENT WITH BDL TRACON THE CTLR STATED OUR GND SPD WAS 270 KTS. I CAN ONLY ASSUME THAT THE ACFT WAS TRIMMED SLIGHTLY NOSE DOWN AND AS I BECAME INTENT ON THE TFC I ALLOWED THE SPD TO BUILD UP (ALTHOUGH I CAN HARDLY BELIEVE 270 KTS). I MAY HAVE PUSHED THE NOSE DOWN IN AN ATTEMPT TO INCREASE THE VISUAL SCAN AREA. THIS WOULD HAVE CREATED A RAPID DSCNT WHICH ELIMINATED THE REQUIRED VERT SEPARATION. CONCLUSION: IN THE FUTURE I WILL ALLOW OR ACCEPT ONLY HORIZ SEPARATION WITH VFR/IFR TFC AT UNCONFIRMED ALTS. IF NOT OFFERED; I WILL REQUEST THE SEPARATION. WITH THE INFO THE CTLR HAS ON THE TRACON DISPLAY; HE WAS IN A POS TO HAVE OFFERED A POSITIVE RESOLUTION WELL BEFORE THE SITUATION BECAME CRITICAL. I WOULD RECOMMEND AN EARLIER INITIATIVE ON THE PART OF THE CTLR.",,,,"ACR HAS TCASII RA ON DSCNT; CLBS.",
194611,199110,1201-1800,WVL,ME,,,0,,VMC,10,,Daylight,1200,,TRACON BGR,Personal,Small Transport; Low Wing; 2 Recip Eng,,2,,IFR,Personal,,Takeoff; Climb,,Class D WVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 90; Flight Crew Total 3300; Flight Crew Type 600,,,,194611,,,Other Nonprofessional GA,First Officer,Flight Crew Private,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Procedural FAR; Deviation - Procedural Clearance,,,Person Air Traffic Control,,General None Reported / Taken,,Human Factors,"BANGOR APCH REMOTE: 'HOLD FOR RELEASE.' PLT; COPLT HEARD: 'CLRED FOR DEP.' ACFT DEPARTED AND RPTED AIRBORNE. APCH RPTED IMC TFC 1 MI AHEAD AT 1500 FT. NO EVASIVE ACTION. BELIEVE WE PASSED UNDER THE TFC. POTENTIAL MIDAIR. CTLR HAD BOTH ACFT ON RADAR. CTLR RPTED WE WERE NOT CLRED FOR DEP. CASE OF HEARING WHAT CREW WANTED TO HEAR.",,,,"CLOSE PROX GA SMT CLBING OUT FROM WVL AND UNKNOWN ACFT IN CTL ZONE IN IMC.",
194779,199111,1201-1800,PVD,RI,,70,,12000,VMC,,,Daylight,,,Center ZBW,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Cruise; Descent; Descent,,Class E ZBW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Air Carrier,Captain; Pilot Flying,Flight Crew Instrument; Flight Crew Commercial; Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 250; Flight Crew Total 10000; Flight Crew Type 4000,,,,194779,,,Air Carrier,First Officer,Flight Crew Commercial; Flight Crew Instrument; Flight Crew Air Transport Pilot (ATP),,,,,,Conflict Airborne Conflict; Conflict NMAC,Vertical 500,,Person Flight Crew,,General None Reported / Taken,,Human Factors,"WHILE TALKING WITH BOS CENTER ON FREQ 124.85; CENTER RPTED AN SMA AT OUR 11 O'CLOCK POS AT 12500 FT. THEY TOLD US WE COULD LEVEL OFF AT 13000 FT IF WE WANTED UNTIL WE SAW THE VFR TFC. WE WERE CLRED TO 12000. I SAW AN ACFT AS WE PASSED 12700 FT BUT IT WAS NO SMA. I CALLED CENTER TO RECONFIRM ALT AND TYPE OF ACFT AS WE PASSED 500 FT UNDER AN LTT. I ASKED FOR THE LTT ALT AND HE RPTED 12500 FT. I QUERIED CENTER. CENTER SAID WE COULD HAVE LEVELED AT 13000 FT. NO EVASIVE ACTION TAKEN; BUT TOO CLOSE FOR COMFORT.",,,,"FLC OF LGT ON DSCNT PASSED COMMUTER 500 FT.",
195883,199112,1201-1800,BAF,MA,,15,,15000,VMC,,,Daylight,,,Center ZBW,Air Carrier,Large Transport; Low Wing; 3 Turbojet Eng,,3,,IFR,Passenger,,Descent; Descent,,Class E ZBWQ,,,,,,,,,,,,,,,,Corporate,Light Transport; Low Wing; 2 Turbojet Eng,,2,,IFR,,,Cruise; Cruise,Vectors,,,,,,,,,,,,,,Government,Enroute,Air Traffic Control Fully Certified,,,,,195883,,,Government,Enroute,Air Traffic Control Developmental,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation - Procedural Published Material / Policy,Horizontal 18600; Vertical 0,,Person Air Traffic Control,,General None Reported / Taken,,Human Factors,"I WAS TRAINING A PERSON IN THE RADAR POS AT BOSOX SECTOR IN AREA C IN BOSTON CENTER. WE HAD A FULL PERFORMANCE RADAR ASSOCIATE IN OUR D-SIDE. 30 MINS PRIOR TO THE INCIDENT; TFC WAS MODERATE WHICH THE RADAR TRAINEE WAS HANDLING SATISFACTORILY. (8-15 ACFT). ACR X BOS DEP AT 160 DIRECT BAF AN OVERFLT TO LGA. CPR Y WAS A PVD DEP (REQUESTING FL390) WHICH WE CLBED TO 110 AND TURNED 20 DEG L FOR TFC AT 120. ONCE WE CLRED THE 120 TFC WE CLBED TO 150. TFC HAD BUILT IN THE HFD VICINITY WHICH THE RADAR TRAINEE WAS SATISFACTORILY HANDLING. THE RADAR ASSOCIATE THEN RECEIVED A CALL FROM CTR SECTOR ON A POINT OUT ON AN ACR ORH DEP CLBING TO 160 DIRECT CTR. THE RADAR ASSOCIATE APPROVED THE POINT OUT. I TURNED TO THE RADAR ASSOCIATE AND SAID CALL THEM BACK AND TELL THEM UNABLE DUE TO TFC IN VICINITY AND ALSO TO MAKE SURE CTR SECTOR HAD A POINT OUT ON CPR Y AT 150; THE GET CTL REF ACR X AND OTHER ACR. THE RADAR ASSOCIATE COMPLETED THE CALL AND SAID 'IT'S ALL SET; CTR IS WATCHING CPR Y.' THE RADAR TRAINEE THEN TURNED CPR Y 30 DEGS R TO INITIATE CLB ONCE ACR X AT 160 WAS CLR. NEXT UPDATE ACR X DATA BLOCK SHOWED 160 DSNDING TO 140. I TOLD THE RADAR ASSOCIATE TO FIND OUT WHAT CTR WAS DOING REF CPR Y WHICH WE HAD TURNED 30 DEG R. CTR TOLD THE RADAR ASSOCIATE THEY WERE EXPEDITING THE ACR Y TO 140. ONCE THEY WERE CLR WE CLBED CPR Y TO 230. SEPARATION HAD BEEN LOST WHEN CTR DSNDED ACR X TO 140 WITH CPR Y IN CLOSE PROX AT 150. IT WAS MY UNDERSTANDING (AND ALSO THE RADAR TRAINEE'S) THAT ALL COORD WAS COMPLETED BY THE RADAR ASSOCIATE AND THAT CTR KNEW WHAT WE WERE DOING WITH CPR Y REF ACR Y COULD HAVE BEEN PREVENTED WITH BETTER COM AND COORD BTWN THE SECTORS INVOLVED AND BTWN THE RADAR ASSOCIATE AND RADAR POS.",,,,"ACR X HAD LTSS FROM CPR Y. SYS ERROR.",
196072,199111,0601-1200,BAF,MA,,6,,1900,VMC,,,Daylight,,,TRACON BDL,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,,IFR,Training,,Initial Approach; Descent; Descent,,Class D BAF,,,,,,,,,,,,,,,,,Small Aircraft; Low Wing; 1 Eng; Retractable Gear,,1,,,,,Initial Approach,,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 45; Flight Crew Total 510; Flight Crew Type 400,,,,196077,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Student,,,,,,Conflict NMAC,Horizontal 100; Vertical 100,,Person Other Person,,Flight Crew Took Evasive Action,,Ambiguous,"AT APPROX XA45Z; ON AN IFR CLRNC; HAVING BEEN CLRED TO W FIELD VOR RWY 20 APCH AT 2100 MSL AND 1 NM OUTSIDE KLYDE INTXN; AN SMA A APPEARED UNDER THE R WING OF MY ACFT. I INFORMED THE BRADLEY CTLR; EXECUTED A 360 SHARP R TURN FOR SEPARATION; TOOK MY STUDENT OFF THE HOOD; CANCELLED MY IFR CLRNC AND CONTACTED THE W FIELD TWR. UPON COMPLETING THE TURN I NOTED THAT THE SMA A WAS DIRECTLY AHEAD AND AT MY ALT 1900 FT. I THEN FOLLOWED THE SMA A MAKING A STRAIGHT-IN APCH TO RWY 20 W FIELD. WHEN CLRING THE RWY I NOTED THE SMA A; WHITE WITH RED MARKINGS; NUMBER XYY. CALLBACK CONVERSATION WITH RPTR REVEALED THE FOLLOWING INFO: RPTR STATES HE CALLED APCH AFTER LNDG AND GOT NO SATISFACTION REGARDING SITUATION. INFORMED THE OTHER PLT WAS VFR AND HAD RPTR ACFT IN SIGHT. IF TRUE PROX WAS MUCH TOO CLOSE FOR RPTR. EXTREMELY STARTLING WITH NO WARNING. CTLR STATED HE HAD A TRAINEE AT THE TIME AND DID NOT WANT TO TAKE OVER TOO SOON. THIS IMMEDIATELY LED RPTR TO QUESTION JUST HOW CLOSE DO WE HAVE TO GET? RPTR HAS FRIEND IN FAA WHO SUGGESTED HE FILE ASRS RPT.",,,,"SMA ON INST APCH HAS SMA APPEAR UNDER R WING. NMAC.",
196076,199111,1201-1800,SFZ,RI,,1,,1440,VMC,10,,Dusk,,,TRACON PVD,Personal,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,1,,VFR,Training,,Takeoff; Landing; Landing; Other Pattern,,Class G SFZ,,,,,,,,,,,,,,,,FBO,Small Aircraft; High Wing; 1 Eng; Fixed Gear,,1,,,Training,,Initial Approach,,,,,,,,,,,,,,,Other Nonprofessional GA,Pilot Flying; Single Pilot,Flight Crew Private,Flight Crew Last 90 Days 20; Flight Crew Total 600; Flight Crew Type 200,,,,196076,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Private,,,,,,Conflict NMAC; Deviation - Procedural Other / Unknown; Other Unspecified,Horizontal 100; Vertical 100,,Person Other Person,,Flight Crew Took Evasive Action,,Human Factors,"WHILE DOING TOUCH-AND-GOES IN MY SMA A; I WAS MIDWAY DOWNWIND FOR RWY 5 AT PATTERN ALT WHEN AN ACFT CAME DIRECTLY TOWARD ME AT THE SAME ALT DOING A R UPWIND FOR RWY 23. THE UNKNOWN ACFT DID A DIVING TURN TO THE L AND PASSED UNDER AND AWAY FROM ME TO MY R -- DISTANCE WAS APPROX 100 FT. I NOTED THE LAST 2 NUMBERS AND THE TYPE AS SMA B. AFTER LNDG AND TAXIING OFF THE RWY 5; THIS UNKNOWN ACFT LANDED BEHIND ME AND I WAS ABLE TO NOTE THE FULL TALL NUMBER. AFTER TYING DOWN MY ACFT I WENT INTO FBO OFFICE AT N CENTRAL AND RELATED THE INCIDENT TO PERSONNEL. AN ACQUAINTANCE IN THE OFFICE ASKED IF I GOT THE TAIL NUMBER? REPLYING XXXY; HE SAID 'OH; THAT'S OTHER FBO'S PLANE!' 'MR. X SEATED OVER THERE HAS BEEN TALKING TO THAT PLANE ALL ALONG ON PORTABLE COM RADIO.' THE INTENTIONS WERE UNKNOWN FROM THIS ACFT -- AT THE TIME OF ENTRY INTO THE UPWIND LNDG FOR RWY 23. THE ACFT DID NOT SEEM TO BE ON N CENTRAL UNICOM.",,,,"SMA ON DOWNWIND AT UNCTLED FIELD HAS NMAC WITH SMA DOWNWIND OPPOSITE DIRECTION.",
196467,199112,1201-1800,ASH,NH,,10,,4000,VMC,50,,Daylight,,,,FBO,Small Aircraft; Low Wing; 1 Eng; Fixed Gear,,2,,None,Training,,Cruise,,Class E ASH,,,,,,,,,,,,,,,,,Small Transport; Low Wing; 2 Recip Eng,,1,,,,,Cruise; Cruise,,,,,,,,,,,,,,,Other Compensated GA,Instructor,Flight Crew Commercial; Flight Crew Flight Instructor; Flight Crew Instrument,Flight Crew Last 90 Days 100; Flight Crew Total 1000; Flight Crew Type 65,,,,196467,,,Other Nonprofessional GA,Single Pilot; Pilot Flying,Flight Crew Student,,,,,,Conflict NMAC; Other Unspecified,Horizontal 300; Vertical 300,,Person Other Person,,Flight Crew Took Evasive Action,,Human Factors,"DURING A NORMAL AEROBATIC TRAINING FLT AFTER COMPLETING A 180 DEG CLRING TURN I THOUGHT I SAW SOMETHING OVER MY R SHOULDER. I LOOKED AROUND AND DID NOT SEE ANYTHING. I BRIEFED MY STUDENT ON HOW TO DO A DEP STALL AND AFTER SLOWING DOWN TO DEP SPD WE ADDED PWR AND STARTED TO PULL UP. WE STARTED AT 4000 FT AND AS WE PASSED THROUGH 4300 I SPOTTED A TWIN ENG PLANE COMING OVER MY L SHOULDER APPROX 300 FT HIGHER. I PULLED THE PWR AND LOWERED THE NOSE AND WATCHED THE PLANE CONTINUE ON.",,,,"INSTRUCTOR WITH SPI PRACTICING MANEUVERS HAS NMAC WITH SMT.",
